threshold,balanced_accuracy,f1_imbalance,precision_imbalance,recall_imbalance
0.5049999999999999,0.965279675241032,0.9903686482896048,0.9913563829787234,0.9893828798938288
0.5099999999999999,0.9649478902377142,0.9900332225913622,0.9913506320691949,0.9887193098871931
0.5149999999999999,0.9649478902377142,0.9900332225913622,0.9913506320691949,0.9887193098871931
0.5199999999999999,0.9649478902377142,0.9900332225913622,0.9913506320691949,0.9887193098871931
0.5249999999999999,0.9649478902377142,0.9900332225913622,0.9913506320691949,0.9887193098871931
0.5299999999999999,0.9649478902377142,0.9900332225913622,0.9913506320691949,0.9887193098871931
0.5349999999999999,0.9649478902377142,0.9900332225913622,0.9913506320691949,0.9887193098871931
0.5399999999999999,0.9649478902377142,0.9900332225913622,0.9913506320691949,0.9887193098871931
0.5449999999999999,0.9649478902377142,0.9900332225913622,0.9913506320691949,0.9887193098871931
0.5499999999999999,0.9668785486733104,0.9900265957446809,0.9920053297801465,0.9880557398805574
0.5549999999999999,0.9668785486733104,0.9900265957446809,0.9920053297801465,0.9880557398805574
0.5599999999999999,0.9668785486733104,0.9900265957446809,0.9920053297801465,0.9880557398805574
0.565,0.9668785486733104,0.9900265957446809,0.9920053297801465,0.9880557398805574
0.57,0.9668785486733104,0.9900265957446809,0.9920053297801465,0.9880557398805574
0.575,0.9665467636699925,0.9896907216494846,0.992,0.9873921698739216
0.58,0.9665467636699925,0.9896907216494846,0.992,0.9873921698739216
0.585,0.9665467636699925,0.9896907216494846,0.992,0.9873921698739216
0.59,0.9662149786666747,0.9893546240851631,0.9919946631087392,0.986728599867286
0.595,0.9662149786666747,0.9893546240851631,0.9919946631087392,0.986728599867286
0.6,0.9662149786666747,0.9893546240851631,0.9919946631087392,0.986728599867286
0.605,0.9662149786666747,0.9893546240851631,0.9919946631087392,0.986728599867286
0.61,0.9662149786666747,0.9893546240851631,0.9919946631087392,0.986728599867286
0.615,0.9662149786666747,0.9893546240851631,0.9919946631087392,0.986728599867286
0.62,0.9684774221055887,0.9896838602329451,0.992656875834446,0.986728599867286
0.625,0.9684774221055887,0.9896838602329451,0.992656875834446,0.986728599867286
0.63,0.9684774221055887,0.9896838602329451,0.992656875834446,0.986728599867286
0.635,0.9684774221055887,0.9896838602329451,0.992656875834446,0.986728599867286
0.6399999999999999,0.9684774221055887,0.9896838602329451,0.992656875834446,0.986728599867286
0.6449999999999999,0.9681456371022708,0.9893475366178429,0.9926519706078825,0.9860650298606503
0.6499999999999999,0.967813852098953,0.989010989010989,0.9926470588235294,0.9854014598540146
0.6549999999999999,0.967813852098953,0.989010989010989,0.9926470588235294,0.9854014598540146
0.6599999999999999,0.9674820670956351,0.988674217188541,0.9926421404682274,0.9847378898473789
0.6649999999999999,0.9674820670956351,0.988674217188541,0.9926421404682274,0.9847378898473789
0.6699999999999999,0.9674820670956351,0.988674217188541,0.9926421404682274,0.9847378898473789
0.6749999999999999,0.9674820670956351,0.988674217188541,0.9926421404682274,0.9847378898473789
0.6799999999999999,0.9674820670956351,0.988674217188541,0.9926421404682274,0.9847378898473789
0.6849999999999999,0.9674820670956351,0.988674217188541,0.9926421404682274,0.9847378898473789
0.69,0.9671502820923172,0.9883372209263579,0.9926372155287818,0.9840743198407432
0.695,0.9671502820923172,0.9883372209263579,0.9926372155287818,0.9840743198407432
0.7,0.9671502820923172,0.9883372209263579,0.9926372155287818,0.9840743198407432
0.705,0.9671502820923172,0.9883372209263579,0.9926372155287818,0.9840743198407432
0.71,0.9671502820923172,0.9883372209263579,0.9926372155287818,0.9840743198407432
0.715,0.9694127255312314,0.9886666666666667,0.9933020763563295,0.9840743198407432
0.72,0.9690809405279135,0.9883294431477159,0.9932975871313673,0.9834107498341075
0.725,0.9690809405279135,0.9883294431477159,0.9932975871313673,0.9834107498341075
0.73,0.9690809405279135,0.9883294431477159,0.9932975871313673,0.9834107498341075
0.735,0.9690809405279135,0.9883294431477159,0.9932975871313673,0.9834107498341075
0.74,0.9690809405279135,0.9883294431477159,0.9932975871313673,0.9834107498341075
0.7449999999999999,0.9690809405279135,0.9883294431477159,0.9932975871313673,0.9834107498341075
0.7499999999999999,0.9690809405279135,0.9883294431477159,0.9932975871313673,0.9834107498341075
0.7549999999999999,0.9687491555245957,0.9879919946631087,0.9932930918846412,0.9827471798274718
0.7599999999999999,0.9687491555245957,0.9879919946631087,0.9932930918846412,0.9827471798274718
0.7649999999999999,0.9687491555245957,0.9879919946631087,0.9932930918846412,0.9827471798274718
0.7699999999999999,0.9687491555245957,0.9879919946631087,0.9932930918846412,0.9827471798274718
0.7749999999999999,0.9687491555245957,0.9879919946631087,0.9932930918846412,0.9827471798274718
0.7799999999999999,0.9687491555245957,0.9879919946631087,0.9932930918846412,0.9827471798274718
0.7849999999999999,0.9687491555245957,0.9879919946631087,0.9932930918846412,0.9827471798274718
0.7899999999999999,0.9687491555245957,0.9879919946631087,0.9932930918846412,0.9827471798274718
0.7949999999999999,0.9684173705212777,0.9876543209876543,0.9932885906040269,0.9820836098208361
